ID de temario,Título de temario,Código de curso,Código de participante,ID Actividad,ID de pregunta,Tipo de pregunta,Texto de la pregunta,Opciones,Selección en la respuesta,Texto de la respuesta
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,c0723271-be81-4bd0-be34-184a92af7e93,c0723271-be81-4bd0-be34-184a92af7e93,likert,Diga cuanto de acuerdo está usted con esta frase: Usted sabe rellenar formularios en internet,😠 | 😞 | 😐 | 😊 | 😄,0,😠
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,e68782d5-6e9c-4ba3-903c-f7d0a7d85527,e68782d5-6e9c-4ba3-903c-f7d0a7d85527,mcq,¿Ha asistido a algún curso de informática antes?,✔️  Sí | ❌  No | 🤷🏻‍♀️  No sabe o no contesta,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,c12e8090-6c13-45fb-ac39-f68894b9e793,c12e8090-6c13-45fb-ac39-f68894b9e793,mcq,"¿Tiene algún tipo de problema físico para mover las manos (por ejemplo artritis,parkinson, artrosis, temblores, etc.)?",✔️  Sí | ❌  No,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,f90ff66e-aebf-4fa2-8ec3-eeb15ba5a7ba,f90ff66e-aebf-4fa2-8ec3-eeb15ba5a7ba,mcq,¿Ha tenido alguna vez problemas por no saber usar internet o las nuevas tecnologías?,✔️  Sí | ❌  No,0,✔️  Sí
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,ef8197dc-6450-4883-8975-211ff8ff0671,ef8197dc-6450-4883-8975-211ff8ff0671,mcq,¿Qué tipo de formación preferiría usted para poder aprender el uso básico de un ordenador?,"En grupo, con un profesor en el aula | Yo solo o sola, con un ordenador y una tablet y una persona en el aula por si tengo problemas | No sabe o no contesta",1,"Yo solo o sola, con un ordenador y una tablet y una persona en el aula por si tengo problemas"
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,e74db731-565b-4164-b78d-76bdd99a123f,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,4,😄
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,dc7a6ad6-d1db-4694-a8b1-8ef7f3455d46,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,ed4229b1-2041-4a88-a0b7-622d4416b889,ed4229b1-2041-4a88-a0b7-622d4416b889,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con la ayuda y presencia de la persona facilitadora que acompaña la formación,😠 | 😞 | 😐 | 😊 | 😄,4,😄
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,083c4faa-bd3f-4fd0-bfa0-348457ade1cd,083c4faa-bd3f-4fd0-bfa0-348457ade1cd,likert,Diga cuanto de acuerdo está usted con esta frase: Los botones de la aplicación del curso en la tablet están bien,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,a30f78cc-f230-4851-a98d-5aaf2bf8bc19,a30f78cc-f230-4851-a98d-5aaf2bf8bc19,mcq,¿Cuál es su edad?,Hasta 17 años | 18-39 años | 40-49 años | 40-49 años | 50-59 años | 60-69 años | 70-79 años | 80-89 años | 90 años en adelante,6,70-79 años
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,f0f08369-2832-47b2-8641-81c778918cf5,f0f08369-2832-47b2-8641-81c778918cf5,mcq,"Teniendo en cuenta el número de personas que viven en su hogar, y la cantidad de ingresos que entran en su hogar, ¿de cuántos euros mensuales dispone por persona? Un rango aproximadamente. No hace falta que sea exacto",Menos de 100 euros por persona | Entre 100 y 400 euros por persona | Entre 400 y 800 euros por persona | Entre 800 y 1200 euros por persona | Más de 1200 euros por persona,2,Entre 400 y 800 euros por persona
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,52a9ba7d-3779-4b06-b420-a4842a92865f,52a9ba7d-3779-4b06-b420-a4842a92865f,likert,Diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un teclado de ordenador o portátil,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,cccc2878-5ef8-43b4-8dc9-aef3d6e69853,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,0,😠
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,82b50990-c52c-413c-a0b0-291b2dc6ba81,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,b064e333-5718-4073-a7b0-515e2460f186,b064e333-5718-4073-a7b0-515e2460f186,likert,"Una vez finalizado el curso, diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un teclado de ordenador o portátil",😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,f00e5c4b-39f6-49c0-b5c4-a49913aa0cb3,f00e5c4b-39f6-49c0-b5c4-a49913aa0cb3,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con la posibilidad de gestionar por usted mismo su proceso de aprendizaje (a su ritmo y de acuerdo a su disponibilidad),😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,423074f8-71d0-42b6-b914-f6769196cae4,423074f8-71d0-42b6-b914-f6769196cae4,likert,Diga cuanto de acuerdo está usted con esta frase: La aplicación del curso en la tablet es muy difícil de usar,😠 | 😞 | 😐 | 😊 | 😄,1,😞
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,70c2cfe5-1da8-438b-9fe6-987fa468c3fb,70c2cfe5-1da8-438b-9fe6-987fa468c3fb,mcq,¿Tiene usted algún tipo de problema para leer en las pantallas digitales incluso llevando gafas (en caso en que las lleve)?,✔️  Sí | ❌  No,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,5b9f0fde-5f2b-45d9-9462-fa7772c36098,5b9f0fde-5f2b-45d9-9462-fa7772c36098,likert,Diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un ordenador o un portátil,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,032c9707-6194-42b6-90f7-6e6692798560,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,a0b645fb-be6c-4264-a361-b750d7abba38,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,ac3a0ba3-9a48-47d5-b8fe-f346b08ecdf1,ac3a0ba3-9a48-47d5-b8fe-f346b08ecdf1,likert,"Una vez finalizado el curso, diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un ordenador o un portátil",😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,8d201a12-69c7-42cd-a4f2-ecc987362426,8d201a12-69c7-42cd-a4f2-ecc987362426,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con la calidad de los vídeos y su contenido,😠 | 😞 | 😐 | 😊 | 😄,4,😄
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,02898f63-8702-4d68-91a3-a8c92b46f863,02898f63-8702-4d68-91a3-a8c92b46f863,likert,Diga cuanto de acuerdo está usted con esta frase: La aplicación del curso en la tablet no funciona bien,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,c1a9020e-684e-4263-a56e-2ed35c9c3cdd,c1a9020e-684e-4263-a56e-2ed35c9c3cdd,mcq,¿Cuál es su país de nacimiento?,España | Otros países europeos | Marruecos | Otros países africanos | Perú | Otros países latinoamericanos | China | Otros países asiáticos | otros,0,España
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,76c68162-bcf4-4317-9cd1-1344fcaadaf1,76c68162-bcf4-4317-9cd1-1344fcaadaf1,mcq,"Si quisiera usar un ordenador o portátil, ¿sería posible para usted acceder a uno?","Sí, tengo un ordenador o portátil propio y puedo usarlo cuando quiera | Sí, podría usar un ordenador o portátil familiar que tenemos en casa | Sí, podría usar el ordenador de alguna instalación pública (bibliotecas, centros de mayores, cibers, centros culturales, etc) | No, no tengo acceso a un ordenador o portátil",3,"No, no tengo acceso a un ordenador o portátil"
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,8dd488fe-4ac6-460c-ad90-f1ec6475ffde,8dd488fe-4ac6-460c-ad90-f1ec6475ffde,likert,Diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un ratón informático,😠 | 😞 | 😐 | 😊 | 😄,1,😞
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,9bb9d247-3ff8-4b54-acee-155e9af5acfe,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,0,😠
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,c7bbd525-c5ec-4ef3-bb59-11d0fc62f8f6,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,d95a3825-4476-43a5-9531-e09e91ac1f21,d95a3825-4476-43a5-9531-e09e91ac1f21,likert,"Una vez finalizado el curso, diga cuanto de acuerdo está usted con esta frase: Usted sabe utilizar un ratón informático",😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,557d0cf4-08cf-405f-9dc9-237aba1cda22,557d0cf4-08cf-405f-9dc9-237aba1cda22,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con la privacidad en el proceso de aprendizaje (el que solo usted y nadie más vea su progreso y dificultades),😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,a9b34e94-d2dc-4a67-8f44-cd309abccbf0,a9b34e94-d2dc-4a67-8f44-cd309abccbf0,likert,Diga cuanto de acuerdo está usted con esta frase: Me manejo bien con la aplicación del curso en la tablet,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,mcq,¿Entiende la lengua española?,Perfectamente | Bastante | Poco,0,Perfectamente
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,f27ec558-6bcf-461d-aa67-0c4045facb85,f27ec558-6bcf-461d-aa67-0c4045facb85,mcq,¿Cree usted que las nuevas tecnologías son buenas y útiles para la  sociedad?,"Sí, las nuevas tecnologías nos facilitan la vida | No, las nuevas tecnologías lo complican todo | No sabe o no contesta",1,"No, las nuevas tecnologías lo complican todo"
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,00f40885-6229-4347-b937-4c1761dad364,00f40885-6229-4347-b937-4c1761dad364,mcq,"En caso de haber hecho algún curso de informática antes, ¿le ha sido fácil?","Me ha resultado demasiado fácil y a veces me he aburrido | Sí, se me ha dado bien y lo he entendido durante las clases | No me resulta sencillo, a veces me pierdo | No he hecho ningún curso antes",2,"No me resulta sencillo, a veces me pierdo"
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,69b93607-5fee-4c6f-b42a-0cd915f87954,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,4,😄
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,7b7bdffe-5a5a-43a4-97b7-cc3e63612cb3,032c9707-6194-42b6-90f7-6e6692798560,likert,Diga cuanto de acuerdo está usted con esta frase: Le ha resultado fácil seguir los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,334955d4-bac8-4e30-a93e-8b8eacb812ab,334955d4-bac8-4e30-a93e-8b8eacb812ab,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con el uso de la doble pantalla para aprender (el ordenador y la tablet a la vez),😠 | 😞 | 😐 | 😊 | 😄,4,😄
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,abd6c9c9-d827-4823-ae7d-ee48a98f3397,abd6c9c9-d827-4823-ae7d-ee48a98f3397,likert,Diga cuanto de acuerdo está usted con esta frase: He necesitado una persona para ser capaz de usar la aplicación del curso en la tablet,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,64c60e56-a068-4b97-8a38-a3bff5e8721f,64c60e56-a068-4b97-8a38-a3bff5e8721f,mcq,¿Cuál es su género?,Mujer | Hombre,0,Mujer
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,57a92351-8d99-478f-b3f3-e3f6ccc842a5,57a92351-8d99-478f-b3f3-e3f6ccc842a5,mcq,"¿Tiene usted personas a su cargo que dependan de usted en su bienestar (hijos/as, padres, personas dependientes por ejemplo con discapacidad, etc)?",✔️  Sí | ❌  No,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,c20bae44-4fe9-48e5-96a5-bed5726ff060,c20bae44-4fe9-48e5-96a5-bed5726ff060,likert,Diga cuanto de acuerdo está usted con esta frase: Usted sabe buscar información en internet,😠 | 😞 | 😐 | 😊 | 😄,0,😠
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,76a68035-e349-419f-869d-fef25ff80527,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,-1,
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,mcq,¿Conoce cuales son las diferentes partes de un ordenador o portátil?,✔️  Sí | ❌  No,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,0,😠
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,78bd34f8-e7f6-4bf8-8f4b-232bc031cfae,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,ae77805b-0495-4d0d-878a-a961fcc23367,ae77805b-0495-4d0d-878a-a961fcc23367,mcq,¿Conoce ahora cuales son las diferentes partes de un ordenador o portátil?,✔️   Sí | ❌   No,0,✔️   Sí
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,fef54ae4-52b4-44a3-a767-796bed655742,fef54ae4-52b4-44a3-a767-796bed655742,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con el funcionamiento general y sin problemas de la tecnología utilizada durante la formación,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a10,3450614c-eb3a-4b86-8921-0468e417b367,3450614c-eb3a-4b86-8921-0468e417b367,likert,Diga cuanto de acuerdo está usted con esta frase: Cualquiera puede aprender rápido a usar la aplicación del curso en la tablet,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,489ca34b-aa1f-47ae-8082-dc2a66ede9aa,489ca34b-aa1f-47ae-8082-dc2a66ede9aa,mcq,¿Cuál es el nivel más alto de estudios que ha cursado usted?,"Sé leer y escribir aunque no he terminado la escuela | Primaria (colegio, escuela) | Secundaria (instituto) | Formación profesional o en Escuela de Oficios | Estudios Universitarios",3,Formación profesional o en Escuela de Oficios
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,mcq,¿Conoce cuales son las diferentes partes de un ordenador o portátil?,✔️  Sí | ❌  No,1,❌  No
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,78bd34f8-e7f6-4bf8-8f4b-232bc031cfae,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,Diga cuanto de acuerdo está usted con esta frase: Le parece útil el contenido de los videos de este último tema,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,ae77805b-0495-4d0d-878a-a961fcc23367,ae77805b-0495-4d0d-878a-a961fcc23367,mcq,¿Conoce ahora cuales son las diferentes partes de un ordenador o portátil?,✔️   Sí | ❌   No,0,✔️   Sí
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,fef54ae4-52b4-44a3-a767-796bed655742,fef54ae4-52b4-44a3-a767-796bed655742,likert,Diga cuanto de acuerdo está usted con esta frase: Usted está satisfecho o satisfecha con el funcionamiento general y sin problemas de la tecnología utilizada durante la formación,😠 | 😞 | 😐 | 😊 | 😄,3,😊
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a11,3450614c-eb3a-4b86-8921-0468e417b367,3450614c-eb3a-4b86-8921-0468e417b367,likert,Diga cuanto de acuerdo está usted con esta frase: Cualquiera puede aprender rápido a usar la aplicación del curso en la tablet,😠 | 😞 | 😐 | 😊 | 😄,2,😐
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,mcq,¿Entiende la lengua española?,Perfectamente | Bastante | Poco,0,Perfectamente
be5f350a-623e-4155-8244-22952cd49ecd,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),CJLS,a12,f27ec558-6bcf-461d-aa67-0c4045facb85,f27ec558-6bcf-461d-aa67-0c4045facb85,mcq,¿Cree usted que las nuevas tecnologías son buenas y útiles para la  sociedad?,"Sí, las nuevas tecnologías nos facilitan la vida | No, las nuevas tecnologías lo complican todo | No sabe o no contesta",0,"Sí, las nuevas tecnologías nos facilitan la vida"
