Participante,Curso,ID Actividad,Tipo de actividad,Tipo de evento,Ocurrió en
berta2,EdIBC,64c60e56-a068-4b97-8a38-a3bff5e8721f,mcq,entered,2025-03-21 12:16:33.518269+01:00 CET Europe/Madrid
berta2,EdIBC,64c60e56-a068-4b97-8a38-a3bff5e8721f,mcq,exited,2025-03-21 12:16:33.570113+01:00 CET Europe/Madrid
berta2,EdIBC,a30f78cc-f230-4851-a98d-5aaf2bf8bc19,mcq,entered,2025-03-21 12:16:33.573713+01:00 CET Europe/Madrid
berta2,EdIBC,a30f78cc-f230-4851-a98d-5aaf2bf8bc19,mcq,exited,2025-03-21 12:16:33.619598+01:00 CET Europe/Madrid
berta2,EdIBC,c1a9020e-684e-4263-a56e-2ed35c9c3cdd,mcq,entered,2025-03-21 12:16:33.624725+01:00 CET Europe/Madrid
berta2,EdIBC,c1a9020e-684e-4263-a56e-2ed35c9c3cdd,mcq,exited,2025-03-21 12:16:33.666170+01:00 CET Europe/Madrid
berta2,EdIBC,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,mcq,entered,2025-03-21 12:16:33.669149+01:00 CET Europe/Madrid
berta2,EdIBC,5988ba58-4e66-4d18-bb36-3a1ed9b40ebe,mcq,exited,2025-03-21 12:16:33.681928+01:00 CET Europe/Madrid
berta2,EdIBC,c12e8090-6c13-45fb-ac39-f68894b9e793,mcq,entered,2025-03-21 12:16:33.685771+01:00 CET Europe/Madrid
berta2,EdIBC,c12e8090-6c13-45fb-ac39-f68894b9e793,mcq,exited,2025-03-21 12:16:33.719428+01:00 CET Europe/Madrid
berta2,EdIBC,70c2cfe5-1da8-438b-9fe6-987fa468c3fb,mcq,entered,2025-03-21 12:16:33.723148+01:00 CET Europe/Madrid
berta2,EdIBC,70c2cfe5-1da8-438b-9fe6-987fa468c3fb,mcq,exited,2025-03-21 12:16:33.764006+01:00 CET Europe/Madrid
berta2,EdIBC,489ca34b-aa1f-47ae-8082-dc2a66ede9aa,mcq,entered,2025-03-21 12:16:33.768010+01:00 CET Europe/Madrid
berta2,EdIBC,489ca34b-aa1f-47ae-8082-dc2a66ede9aa,mcq,exited,2025-03-21 12:16:33.779552+01:00 CET Europe/Madrid
berta2,EdIBC,d98d3fcf-5e30-4e1d-97f2-dd0f7345c7cf,mcq,entered,2025-03-21 12:16:33.784238+01:00 CET Europe/Madrid
berta2,EdIBC,d98d3fcf-5e30-4e1d-97f2-dd0f7345c7cf,mcq,exited,2025-03-21 12:16:33.819044+01:00 CET Europe/Madrid
berta2,EdIBC,f62ccaa6-9a8c-49f7-9018-ded9b15eeb79,mcq,entered,2025-03-21 12:16:33.821240+01:00 CET Europe/Madrid
berta2,EdIBC,f62ccaa6-9a8c-49f7-9018-ded9b15eeb79,mcq,exited,2025-03-21 12:16:33.867014+01:00 CET Europe/Madrid
berta2,EdIBC,143f43a2-a18a-40f3-b300-aaf76ed0c663,mcq,entered,2025-03-21 12:16:33.869813+01:00 CET Europe/Madrid
berta2,EdIBC,143f43a2-a18a-40f3-b300-aaf76ed0c663,mcq,exited,2025-03-21 12:16:33.914280+01:00 CET Europe/Madrid
berta2,EdIBC,57a92351-8d99-478f-b3f3-e3f6ccc842a5,mcq,entered,2025-03-21 12:16:33.916780+01:00 CET Europe/Madrid
berta2,EdIBC,57a92351-8d99-478f-b3f3-e3f6ccc842a5,mcq,exited,2025-03-21 12:16:33.924084+01:00 CET Europe/Madrid
berta2,EdIBC,f0f08369-2832-47b2-8641-81c778918cf5,mcq,entered,2025-03-21 12:16:33.928368+01:00 CET Europe/Madrid
berta2,EdIBC,f0f08369-2832-47b2-8641-81c778918cf5,mcq,exited,2025-03-21 12:16:33.966056+01:00 CET Europe/Madrid
berta2,EdIBC,76c68162-bcf4-4317-9cd1-1344fcaadaf1,mcq,entered,2025-03-21 12:16:33.968071+01:00 CET Europe/Madrid
berta2,EdIBC,76c68162-bcf4-4317-9cd1-1344fcaadaf1,mcq,exited,2025-03-21 12:16:33.986165+01:00 CET Europe/Madrid
berta2,EdIBC,f27ec558-6bcf-461d-aa67-0c4045facb85,mcq,entered,2025-03-21 12:16:34.014449+01:00 CET Europe/Madrid
berta2,EdIBC,f27ec558-6bcf-461d-aa67-0c4045facb85,mcq,exited,2025-03-21 12:16:34.021265+01:00 CET Europe/Madrid
berta2,EdIBC,f90ff66e-aebf-4fa2-8ec3-eeb15ba5a7ba,mcq,entered,2025-03-21 12:16:34.024069+01:00 CET Europe/Madrid
berta2,EdIBC,f90ff66e-aebf-4fa2-8ec3-eeb15ba5a7ba,mcq,exited,2025-03-21 12:16:34.067207+01:00 CET Europe/Madrid
berta2,EdIBC,5b9f0fde-5f2b-45d9-9462-fa7772c36098,likert,entered,2025-03-21 12:16:34.069591+01:00 CET Europe/Madrid
berta2,EdIBC,5b9f0fde-5f2b-45d9-9462-fa7772c36098,likert,exited,2025-03-21 12:16:34.081898+01:00 CET Europe/Madrid
berta2,EdIBC,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,mcq,entered,2025-03-21 12:16:34.084625+01:00 CET Europe/Madrid
berta2,EdIBC,7c5a71c5-2c39-4d8c-9e48-c75e43cfac5b,mcq,exited,2025-03-21 12:16:34.116768+01:00 CET Europe/Madrid
berta2,EdIBC,52a9ba7d-3779-4b06-b420-a4842a92865f,likert,entered,2025-03-21 12:16:34.118543+01:00 CET Europe/Madrid
berta2,EdIBC,52a9ba7d-3779-4b06-b420-a4842a92865f,likert,exited,2025-03-21 12:16:34.125333+01:00 CET Europe/Madrid
berta2,EdIBC,8dd488fe-4ac6-460c-ad90-f1ec6475ffde,likert,entered,2025-03-21 12:16:34.128366+01:00 CET Europe/Madrid
berta2,EdIBC,8dd488fe-4ac6-460c-ad90-f1ec6475ffde,likert,exited,2025-03-21 12:16:34.136138+01:00 CET Europe/Madrid
berta2,EdIBC,9e5d78f1-08b5-466f-9608-6892546f6ddc,likert,entered,2025-03-21 12:16:34.138318+01:00 CET Europe/Madrid
berta2,EdIBC,9e5d78f1-08b5-466f-9608-6892546f6ddc,likert,exited,2025-03-21 12:16:34.170012+01:00 CET Europe/Madrid
berta2,EdIBC,c20bae44-4fe9-48e5-96a5-bed5726ff060,likert,entered,2025-03-21 12:16:34.173525+01:00 CET Europe/Madrid
berta2,EdIBC,c20bae44-4fe9-48e5-96a5-bed5726ff060,likert,exited,2025-03-21 12:16:34.179707+01:00 CET Europe/Madrid
berta2,EdIBC,c0723271-be81-4bd0-be34-184a92af7e93,likert,entered,2025-03-21 12:16:34.181964+01:00 CET Europe/Madrid
berta2,EdIBC,c0723271-be81-4bd0-be34-184a92af7e93,likert,exited,2025-03-21 12:16:34.188169+01:00 CET Europe/Madrid
berta2,EdIBC,e68782d5-6e9c-4ba3-903c-f7d0a7d85527,mcq,entered,2025-03-21 12:16:34.215171+01:00 CET Europe/Madrid
berta2,EdIBC,e68782d5-6e9c-4ba3-903c-f7d0a7d85527,mcq,exited,2025-03-21 12:16:34.221915+01:00 CET Europe/Madrid
berta2,EdIBC,00f40885-6229-4347-b937-4c1761dad364,mcq,entered,2025-03-21 12:16:34.225189+01:00 CET Europe/Madrid
berta2,EdIBC,00f40885-6229-4347-b937-4c1761dad364,mcq,exited,2025-03-21 12:16:34.231755+01:00 CET Europe/Madrid
berta2,EdIBC,ef8197dc-6450-4883-8975-211ff8ff0671,mcq,entered,2025-03-21 12:16:34.233671+01:00 CET Europe/Madrid
berta2,EdIBC,ef8197dc-6450-4883-8975-211ff8ff0671,mcq,exited,2025-03-21 12:16:34.266037+01:00 CET Europe/Madrid
berta2,EdIBC,032c9707-6194-42b6-90f7-6e6692798560,likert,entered,2025-03-21 12:16:34.268284+01:00 CET Europe/Madrid
berta2,EdIBC,032c9707-6194-42b6-90f7-6e6692798560,likert,exited,2025-03-21 12:16:34.276244+01:00 CET Europe/Madrid
berta2,EdIBC,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,entered,2025-03-21 12:16:34.278636+01:00 CET Europe/Madrid
berta2,EdIBC,6af1090f-9450-4e8c-a5ad-2d527e72e6e3,likert,exited,2025-03-21 12:16:34.285200+01:00 CET Europe/Madrid
berta2,EdIBC,cccc2878-5ef8-43b4-8dc9-aef3d6e69853,likert,entered,2025-03-21 12:16:34.287301+01:00 CET Europe/Madrid
berta2,EdIBC,cccc2878-5ef8-43b4-8dc9-aef3d6e69853,likert,exited,2025-03-21 12:16:34.320053+01:00 CET Europe/Madrid
berta2,EdIBC,9bb9d247-3ff8-4b54-acee-155e9af5acfe,likert,entered,2025-03-21 12:16:34.323386+01:00 CET Europe/Madrid
berta2,EdIBC,9bb9d247-3ff8-4b54-acee-155e9af5acfe,likert,exited,2025-03-21 12:16:34.329675+01:00 CET Europe/Madrid
berta2,EdIBC,8a25591c-46f0-4302-9433-c3d71c748fd1,likert,entered,2025-03-21 12:16:34.332045+01:00 CET Europe/Madrid
berta2,EdIBC,8a25591c-46f0-4302-9433-c3d71c748fd1,likert,exited,2025-03-21 12:16:34.364540+01:00 CET Europe/Madrid
berta2,EdIBC,76a68035-e349-419f-869d-fef25ff80527,likert,entered,2025-03-21 12:16:34.367255+01:00 CET Europe/Madrid
berta2,EdIBC,76a68035-e349-419f-869d-fef25ff80527,likert,exited,2025-03-21 12:16:34.374685+01:00 CET Europe/Madrid
berta2,EdIBC,f24f7306-f35b-471a-8efc-87f2c4732fe0,likert,entered,2025-03-21 12:16:34.377403+01:00 CET Europe/Madrid
berta2,EdIBC,f24f7306-f35b-471a-8efc-87f2c4732fe0,likert,exited,2025-03-21 12:16:34.383163+01:00 CET Europe/Madrid
berta2,EdIBC,1c0528aa-7245-488b-a6f6-23ceff3cc9ef,likert,entered,2025-03-21 12:16:34.384888+01:00 CET Europe/Madrid
berta2,EdIBC,1c0528aa-7245-488b-a6f6-23ceff3cc9ef,likert,exited,2025-03-21 12:16:34.416861+01:00 CET Europe/Madrid
berta2,EdIBC,69b93607-5fee-4c6f-b42a-0cd915f87954,likert,entered,2025-03-21 12:16:34.418864+01:00 CET Europe/Madrid
berta2,EdIBC,69b93607-5fee-4c6f-b42a-0cd915f87954,likert,exited,2025-03-21 12:16:34.427287+01:00 CET Europe/Madrid
berta2,EdIBC,e74db731-565b-4164-b78d-76bdd99a123f,likert,entered,2025-03-21 12:16:34.429238+01:00 CET Europe/Madrid
berta2,EdIBC,e74db731-565b-4164-b78d-76bdd99a123f,likert,exited,2025-03-21 12:16:34.434703+01:00 CET Europe/Madrid
berta2,EdIBC,a0b645fb-be6c-4264-a361-b750d7abba38,likert,entered,2025-03-21 12:16:34.436880+01:00 CET Europe/Madrid
berta2,EdIBC,a0b645fb-be6c-4264-a361-b750d7abba38,likert,exited,2025-03-21 12:16:34.467944+01:00 CET Europe/Madrid
berta2,EdIBC,78bd34f8-e7f6-4bf8-8f4b-232bc031cfae,likert,entered,2025-03-21 12:16:34.470167+01:00 CET Europe/Madrid
berta2,EdIBC,78bd34f8-e7f6-4bf8-8f4b-232bc031cfae,likert,exited,2025-03-21 12:16:34.477484+01:00 CET Europe/Madrid
