Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
berta2,Espacio de Igualdad Berta Cáceres-Usera,EdIBC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:16:33.518269+01:00 CET Europe/Madrid,2025-03-21 12:16:35.135933+01:00 CET Europe/Madrid
p19,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:55.618898+01:00 CET Europe/Madrid,2025-03-21 12:18:56.913484+01:00 CET Europe/Madrid
p20,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:18:58.276834+01:00 CET Europe/Madrid,2025-03-21 12:18:59.908076+01:00 CET Europe/Madrid
p13,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,292,0,73,,00:00:14,2025-03-21 12:18:18.820155+01:00 CET Europe/Madrid,2025-03-21 12:18:32.064491+01:00 CET Europe/Madrid
p25,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:21.663206+01:00 CET Europe/Madrid,2025-03-21 12:18:23.182591+01:00 CET Europe/Madrid
p7,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:18:56.915515+01:00 CET Europe/Madrid,2025-03-21 12:18:58.275001+01:00 CET Europe/Madrid
p9,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:19:04.411530+01:00 CET Europe/Madrid,2025-03-21 12:19:05.657490+01:00 CET Europe/Madrid
berta9,Espacio de Igualdad Berta Cáceres-Usera,EdIBC,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:16:41.525499+01:00 CET Europe/Madrid,2025-03-21 12:16:43.137790+01:00 CET Europe/Madrid
p16,CEPA Pozuelo,CP,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:02,2025-03-21 12:19:05.659635+01:00 CET Europe/Madrid,2025-03-21 12:19:07.518970+01:00 CET Europe/Madrid
j4,Biblioteca Municipal Pública José Hierro,BMPJH,Curso de uso básico de ordenador (proyecto MIDVID del ayuntamiento de Madrid),false,false,false,146,0,73,,00:00:01,2025-03-21 12:17:57.334544+01:00 CET Europe/Madrid,2025-03-21 12:17:58.680301+01:00 CET Europe/Madrid
