Participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
16,C038 - Biblioteca Municipal María Moliner de Velilla de San Antonio,RETO038,RETOMadrID - Curso de uso básico de ordenador,true,false,true,758,52,37,05:47:36,12:03:34,2024-09-25 10:50:28.009000+02:00 CEST Europe/Madrid,2024-10-28 12:30:13.310000+01:00 CET Europe/Madrid
4,C095 - Centro de mayores Casablanca de Griñón,RETO095,RETOMadrID - Curso de uso básico de ordenador,false,false,false,3,1,0,00:03:52,00:04:44,2025-03-10 13:41:50.985000+01:00 CET Europe/Madrid,2025-03-10 13:46:34.546000+01:00 CET Europe/Madrid
14,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,true,false,true,1044,66,71,05:51:21,12:17:17,2024-11-29 11:05:14.709000+01:00 CET Europe/Madrid,2025-01-30 11:23:09.863000+01:00 CET Europe/Madrid
18,C052 - Biblioteca Municipal de Miraflores de la Sierra,RETO052,RETOMadrID - Curso de uso básico de ordenador,false,false,false,331,32,26,03:43:32,05:21:48,2025-02-13 17:50:06.557000+01:00 CET Europe/Madrid,2025-03-20 18:15:21.560000+01:00 CET Europe/Madrid
13,C014 - Centro de Mayores. La Cabrera,RETO014,RETOMadrID - Curso de uso básico de ordenador,false,true,true,509,68,58,05:21:08,07:24:08,2025-02-12 12:02:19.866000+01:00 CET Europe/Madrid,2025-03-19 14:42:35.785000+01:00 CET Europe/Madrid
18,C103 - Centro Cívico Francisco Rabal de Casarrubuelos,RETO103,RETOMadrID - Curso de uso básico de ordenador,false,false,false,328,29,24,01:53:07,03:13:36,2025-03-26 12:04:51.881000+01:00 CET Europe/Madrid,2025-03-27 12:23:01.629000+01:00 CET Europe/Madrid
2,C095 - Centro de mayores Casablanca de Griñón,RETO095,RETOMadrID - Curso de uso básico de ordenador,false,false,false,5,1,0,00:03:51,00:14:26,2025-03-10 13:26:37.422000+01:00 CET Europe/Madrid,2025-03-10 13:41:03.422000+01:00 CET Europe/Madrid
9,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,false,false,false,75,3,18,00:15:02,00:24:17,2024-11-09 13:24:58.792000+01:00 CET Europe/Madrid,2024-11-09 13:49:15.596000+01:00 CET Europe/Madrid
15,C028 - Centro de Formación Juvenil (FOJU) de Titulcia,RETO028,RETOMadrID - Curso de uso básico de ordenador,true,false,true,545,66,71,04:48:14,08:04:22,2025-01-23 11:16:58.796000+01:00 CET Europe/Madrid,2025-02-06 12:39:14.816000+01:00 CET Europe/Madrid
10,C030 - Centro Acogida Solicitantes de Asilo del Escorial,RETO030,RETOMadrID - Curso de uso básico de ordenador,false,false,false,3,0,0,00:00:08,00:00:10,2025-01-15 12:53:44.838000+01:00 CET Europe/Madrid,2025-01-15 12:53:54.930000+01:00 CET Europe/Madrid
9,C000 - Escuela Técnica de Ingenieros Informáticos (UPM) - Almacén,RETO000,RETOMadrID - Curso de uso básico de ordenador,false,false,false,120,0,18,00:11:42,02:24:54,2024-05-24 13:51:33.065000+02:00 CEST Europe/Madrid,2024-10-23 09:24:24.778000+02:00 CEST Europe/Madrid
18,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,true,true,true,561,67,71,05:09:35,09:27:43,2025-01-20 10:15:27.873000+01:00 CET Europe/Madrid,2025-03-10 11:50:46.559000+01:00 CET Europe/Madrid
14,C028 - Centro de Formación Juvenil (FOJU) de Titulcia,RETO028,RETOMadrID - Curso de uso básico de ordenador,true,false,true,551,66,71,05:06:33,09:00:14,2025-01-23 11:11:34.954000+01:00 CET Europe/Madrid,2025-02-17 11:44:41.309000+01:00 CET Europe/Madrid
