Participante,ID de participante,Centro,Curso,Temario,Al menos 7h 30',Último tema terminado,Al menos ha visto un 75%,Actividad (#eventos),Numero de videos reproducidos,Numero de respuestas,Tiempo mirando videos,Tiempo siguiendo curso,Hora comienzo curso,Hora ultima actividad
16,0093df20-83ba-4c9c-8377-f7bffbd299c1,C038 - Biblioteca Municipal María Moliner de Velilla de San Antonio,RETO038,RETOMadrID - Curso de uso básico de ordenador,true,false,true,758,52,37,05:47:36,12:03:34,2024-09-25 10:50:28.009000+02:00 CEST Europe/Madrid,2024-10-28 12:30:13.310000+01:00 CET Europe/Madrid
4,00e8f465-e894-44d3-b537-6bb64ee405f8,C095 - Centro de mayores Casablanca de Griñón,RETO095,RETOMadrID - Curso de uso básico de ordenador,false,false,false,3,1,0,00:03:52,00:04:44,2025-03-10 13:41:50.985000+01:00 CET Europe/Madrid,2025-03-10 13:46:34.546000+01:00 CET Europe/Madrid
14,0108928a-3735-4ece-a283-e4ce7384f883,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,true,false,true,1044,66,71,05:51:21,12:17:17,2024-11-29 11:05:14.709000+01:00 CET Europe/Madrid,2025-01-30 11:23:09.863000+01:00 CET Europe/Madrid
18,0119529f-ea5b-43b7-a500-a5335eb80fa1,C052 - Biblioteca Municipal de Miraflores de la Sierra,RETO052,RETOMadrID - Curso de uso básico de ordenador,false,false,false,331,32,26,03:43:32,05:21:48,2025-02-13 17:50:06.557000+01:00 CET Europe/Madrid,2025-03-20 18:15:21.560000+01:00 CET Europe/Madrid
13,017d0989-a773-4cf2-af14-59c7fed3242d,C014 - Centro de Mayores. La Cabrera,RETO014,RETOMadrID - Curso de uso básico de ordenador,true,true,true,571,68,67,05:22:55,07:44:55,2025-02-12 12:02:19.866000+01:00 CET Europe/Madrid,2025-04-02 13:48:03.016000+02:00 CEST Europe/Madrid
18,019f5d52-2624-4123-91ce-8783a6a0442b,C103 - Centro Cívico Francisco Rabal de Casarrubuelos,RETO103,RETOMadrID - Curso de uso básico de ordenador,true,true,false,1015,47,64,03:18:57,08:01:49,2025-03-26 12:04:51.881000+01:00 CET Europe/Madrid,2025-04-10 12:52:40.377000+02:00 CEST Europe/Madrid
2,020bc0c1-8fd8-4ac3-93c0-33ce5c9f78f4,C095 - Centro de mayores Casablanca de Griñón,RETO095,RETOMadrID - Curso de uso básico de ordenador,false,false,false,5,1,0,00:03:51,00:14:26,2025-03-10 13:26:37.422000+01:00 CET Europe/Madrid,2025-03-10 13:41:03.422000+01:00 CET Europe/Madrid
9,022321d9-a440-4cb9-8375-94e79a4016c3,C060 - Centro Polivalente Gargantilla de Lozoya,RETO060,RETOMadrID - Curso de uso básico de ordenador,false,false,false,75,3,18,00:15:02,00:24:17,2024-11-09 13:24:58.792000+01:00 CET Europe/Madrid,2024-11-09 13:49:15.596000+01:00 CET Europe/Madrid
15,026a01b2-e1db-4a33-84d4-b03bd9c97d74,C028 - Centro de Formación Juvenil (FOJU) de Titulcia,RETO028,RETOMadrID - Curso de uso básico de ordenador,true,false,true,545,66,71,04:48:14,08:04:22,2025-01-23 11:16:58.796000+01:00 CET Europe/Madrid,2025-02-06 12:39:14.816000+01:00 CET Europe/Madrid
10,026f790e-73d8-4a4f-9195-b66f27738455,C030 - Centro Acogida Solicitantes de Asilo del Escorial,RETO030,RETOMadrID - Curso de uso básico de ordenador,false,false,false,3,0,0,00:00:08,00:00:10,2025-01-15 12:53:44.838000+01:00 CET Europe/Madrid,2025-01-15 12:53:54.930000+01:00 CET Europe/Madrid
34,035de313-0480-45fb-bd51-d228d110cd33,C038 - Biblioteca Municipal María Moliner de Velilla de San Antonio,RETO038,RETOMadrID - Curso de uso básico de ordenador,true,false,true,1349,54,42,08:50:36,13:54:46,2025-04-03 11:13:57.064000+02:00 CEST Europe/Madrid,2025-04-22 13:45:57.540000+02:00 CEST Europe/Madrid
9,036befc7-2ecf-4a09-917b-8b17f8cae629,C000 - Escuela Técnica de Ingenieros Informáticos (UPM) - Almacén,RETO000,RETOMadrID - Curso de uso básico de ordenador,false,false,false,120,0,18,00:11:42,02:24:54,2024-05-24 13:51:33.065000+02:00 CEST Europe/Madrid,2024-10-23 09:24:24.778000+02:00 CEST Europe/Madrid
4,03b9e4b2-e4fd-40de-9496-ecdf6e56340a,C062 - Edificio de Cultura de Los Molinos,RETO062,RETOMadrID - Curso de uso básico de ordenador,false,false,false,290,24,24,01:35:31,02:54:45,2025-04-09 11:39:31.205000+02:00 CEST Europe/Madrid,2025-04-11 12:07:32.999000+02:00 CEST Europe/Madrid
11,03c58047-1569-4f1e-9415-de062e80dfd0,C014 - Centro de Mayores. La Cabrera,RETO014,RETOMadrID - Curso de uso básico de ordenador,false,false,false,137,11,25,00:28:53,00:59:58,2025-04-10 12:58:31.847000+02:00 CEST Europe/Madrid,2025-04-10 13:58:29.809000+02:00 CEST Europe/Madrid
18,0436b189-581e-4093-8613-47fd0e3d6822,C091 - Centro de Mayores Antonio Machado de Humanes de Madrid,RETO091,RETOMadrID - Curso de uso básico de ordenador,true,true,true,608,67,71,05:52:22,10:34:32,2025-01-20 10:15:27.873000+01:00 CET Europe/Madrid,2025-03-10 11:50:46.559000+01:00 CET Europe/Madrid
14,04393d43-a552-4bf7-b46d-09a5a3c533eb,C028 - Centro de Formación Juvenil (FOJU) de Titulcia,RETO028,RETOMadrID - Curso de uso básico de ordenador,true,false,true,551,66,71,05:06:33,09:00:14,2025-01-23 11:11:34.954000+01:00 CET Europe/Madrid,2025-02-17 11:44:41.309000+01:00 CET Europe/Madrid
prueba1,04c9ced1-4ae2-4579-a8a8-dc87435d57e2,C016 - Biblioteca Pública Municipal de Rascafría,RETO016,RETOMadrID - Curso de uso básico de ordenador,false,false,false,168,12,28,00:54:50,02:26:52,2024-09-26 16:56:06.769000+02:00 CEST Europe/Madrid,2024-10-10 11:45:49.226000+02:00 CEST Europe/Madrid
2,051128cf-68fd-44fa-9f96-e7d80630b645,C101 - Residencia de ancianos San Juan Bautista de Colmenar de Oreja,RETO101,RETOMadrID - Curso de uso básico de ordenador,false,false,false,120,11,25,00:38:02,01:35:59,2025-01-22 12:12:28.007000+01:00 CET Europe/Madrid,2025-01-28 12:44:11.778000+01:00 CET Europe/Madrid
4,0580d752-38fd-495c-a2f4-ecd11b587b8c,C039 - Biblioteca Municipal de Navacerrada,RETO039,RETOMadrID - Curso de uso básico de ordenador,false,false,false,332,21,25,04:07:36,06:11:51,2023-02-06 10:13:47.013000+01:00 CET Europe/Madrid,2024-12-10 11:00:41.975000+01:00 CET Europe/Madrid
8,058a1d52-4503-46a3-a094-a6fe6838ed97,C000 - Escuela Técnica de Ingenieros Informáticos (UPM) - Almacén,RETO000,RETOMadrID - Curso de uso básico de ordenador,false,false,false,105,0,18,00:04:05,00:55:17,2024-09-03 10:01:34.600000+02:00 CEST Europe/Madrid,2024-10-23 09:20:21.747000+02:00 CEST Europe/Madrid
1,0614938b-259a-4563-bdc2-54aeb34ebe65,C115 - Casa Cultural de Batres,RETO115,RETOMadrID - Curso de uso básico de ordenador,false,false,false,20,0,0,,00:00:19,2025-03-10 15:43:18.462000+01:00 CET Europe/Madrid,2025-03-10 15:43:37.159000+01:00 CET Europe/Madrid
4,063cf691-4ed0-491f-9ba0-4c233860e298,C051 - Centro de Día Venecia de Camarma de Esteruelas,RETO051,RETOMadrID - Curso de uso básico de ordenador,false,false,false,66,4,18,00:16:36,00:30:01,2025-02-24 12:41:08.176000+01:00 CET Europe/Madrid,2025-02-24 13:11:09.746000+01:00 CET Europe/Madrid
